Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
2000,Mike Martz,16,10,6,0,0.625,1,0,1,Lost WC,Bobby Jackson,Peter Giunta,Rams
1999,Dick Vermeil,16,13,3,0,0.813,3,3,0,Won SB,Mike Martz,Peter Giunta,Rams
1998,Dick Vermeil,16,4,12,0,0.25,0,0,0,,Jerry Rhome,Peter Giunta,Rams
1997,Dick Vermeil,16,5,11,0,0.313,0,0,0,,Jerry Rhome,Bud Carson,Rams
1996,Rich Brooks,16,6,10,0,0.375,0,0,0,,Jack Reilly,Willie Shaw,Rams
1995,Rich Brooks,16,7,9,0,0.438,0,0,0,,Jack Reilly,Willie Shaw,Rams
1994,Chuck Knox,16,4,12,0,0.25,0,0,0,,Chick Harris,George Dyer,Rams
1993,Chuck Knox,16,5,11,0,0.313,0,0,0,,Ernie Zampese,George Dyer,Rams
1992,Chuck Knox,16,6,10,0,0.375,0,0,0,,Ernie Zampese,George Dyer,Rams
1991,John Robinson,16,3,13,0,0.188,0,0,0,,Ernie Zampese,Jeff Fisher,Rams
1990,John Robinson,16,5,11,0,0.313,0,0,0,,Ernie Zampese,Fritz Shurmur,Rams
1989,John Robinson,16,11,5,0,0.688,3,2,1,Lost Conf,Ernie Zampese,Fritz Shurmur,Rams
1988,John Robinson,16,10,6,0,0.625,1,0,1,Lost WC,Ernie Zampese,Fritz Shurmur,Rams
1987,John Robinson,15,6,9,0,0.4,0,0,0,,Ernie Zampese,Fritz Shurmur,Rams
1986,John Robinson,16,10,6,0,0.625,1,0,1,Lost WC,,Fritz Shurmur,Rams
1985,John Robinson,16,11,5,0,0.688,2,1,1,Lost Conf,,Fritz Shurmur,Rams
1984,John Robinson,16,10,6,0,0.625,1,0,1,Lost WC,Jimmy Raye,Fritz Shurmur,Rams
1983,John Robinson,16,9,7,0,0.563,2,1,1,Lost Div,Jimmy Raye,Fritz Shurmur,Rams
1982,Ray Malavasi,9,2,7,0,0.222,0,0,0,,John Hadl,,Rams
1981,Ray Malavasi,16,6,10,0,0.375,0,0,0,,Lionel Taylor,Bud Carson,Rams
1980,Ray Malavasi,16,11,5,0,0.688,1,0,1,Lost WC,Lionel Taylor,Bud Carson,Rams
1979,Ray Malavasi,16,9,7,0,0.563,3,2,1,Lost SB,,Bud Carson,Rams
1978,Ray Malavasi,16,12,4,0,0.75,2,1,1,Lost Conf,,Bud Carson,Rams
1977,Chuck Knox,14,10,4,0,0.714,1,0,1,Lost Div,,,Rams
1976,Chuck Knox,14,10,3,1,0.75,2,1,1,Lost Conf,,,Rams
1975,Chuck Knox,14,12,2,0,0.857,2,1,1,Lost Conf,,,Rams
1974,Chuck Knox,14,10,4,0,0.714,2,1,1,Lost Conf,,,Rams
1973,Chuck Knox,14,12,2,0,0.857,1,0,1,Lost Div,,,Rams
1972,Tommy Prothro,14,6,7,1,0.464,0,0,0,,,,Rams
1971,Tommy Prothro,14,8,5,1,0.615,0,0,0,,,,Rams
1970,George Allen,14,9,4,1,0.692,0,0,0,,,,Rams
1969,George Allen,14,11,3,0,0.786,1,0,1,Lost Div,,,Rams
1968,George Allen,14,10,3,1,0.769,0,0,0,,,,Rams
1967,George Allen,14,11,1,2,0.917,1,0,1,Lost Div,,,Rams
1966,George Allen,14,8,6,0,0.571,0,0,0,,,,Rams
1965,Harland Svare,14,4,10,0,0.286,0,0,0,,,,Rams
1964,Harland Svare,14,5,7,2,0.417,0,0,0,,,,Rams
1963,Harland Svare,14,5,9,0,0.357,0,0,0,,,,Rams
1962,Bob Waterfield,8,1,7,0,0.125,0,0,0,,,,Rams
,Harland Svare,6,0,5,1,0,0,0,0,,,,Rams
1961,Bob Waterfield,14,4,10,0,0.286,0,0,0,,,,Rams
1960,Bob Waterfield,12,4,7,1,0.364,0,0,0,,,,Rams
1959,Sid Gillman,12,2,10,0,0.167,0,0,0,,,,Rams
1958,Sid Gillman,12,8,4,0,0.667,0,0,0,,,,Rams
1957,Sid Gillman,12,6,6,0,0.5,0,0,0,,,,Rams
1956,Sid Gillman,12,4,8,0,0.333,0,0,0,,,,Rams
1955,Sid Gillman,12,8,3,1,0.727,1,0,1,Lost Champ,,,Rams
1954,Hampton Pool,12,6,5,1,0.545,0,0,0,,,,Rams
1953,Hampton Pool,12,8,3,1,0.727,0,0,0,,,,Rams
1952,Hampton Pool,11,9,2,0,0.818,1,0,1,Lost Div,,,Rams
,Joe Stydahar,1,0,1,0,0,0,0,0,Lost Div,,,Rams
1951,Joe Stydahar,12,8,4,0,0.667,1,1,0,Won Champ,,,Rams
1950,Joe Stydahar,12,9,3,0,0.75,2,1,1,Lost Champ,,,Rams
